key,cp,ville,lat,lon
33550_LE TOURNE -,33550,LE TOURNE -,44.716555,-0.399357
33380_MARCHEPRIME -,33380,MARCHEPRIME -,44.696646,-0.845952
33370_ARTIGUES-PRES-BORDEAUX,33370,ARTIGUES-PRES-BORDEAUX,44.858616,-0.48696
33830_BELIN-BELIET,33830,BELIN-BELIET,44.485885,-0.78199
33430_BIRAC,33430,BIRAC,44.417545,-0.145156
33270_BOULIAC -,33270,BOULIAC -,44.81558,-0.499538
33820_BRAUD-ET-SAINT-LOUIS,33820,BRAUD-ET-SAINT-LOUIS,45.249016,-0.63195
33880_CAMBES,33880,CAMBES,44.739497,-0.463449
33450_IZON -,33450,IZON -,44.915883,-0.3568
33840_CAPTIEUX,33840,CAPTIEUX,44.261682,-0.256881
33121_CARCANS -,33121,CARCANS -,45.085103,-1.055088
33230_LAGORCE,33230,LAGORCE,45.074061,-0.161125
33480_CASTELNAU-DE-MEDOC -,33480,CASTELNAU-DE-MEDOC -,45.018694,-0.80553
33480_CASTELNAU-DE-MEDOC,33480,CASTELNAU-DE-MEDOC,45.018694,-0.80553
33230_COUTRAS,33230,COUTRAS,45.046958,-0.09521
33460_CUSSAC-FORT-MEDOC,33460,CUSSAC-FORT-MEDOC,45.115946,-0.733793
33250_PAUILLAC -,33250,PAUILLAC -,45.195143,-0.769924
33990_HOURTIN,33990,HOURTIN,45.182804,-1.085146
33680_LACANAU,33680,LACANAU,44.982416,-1.09762
33550_LESTIAC-SUR-GARONNE -,33550,LESTIAC-SUR-GARONNE -,44.690914,-0.373009
33400_TALENCE,33400,TALENCE,44.806418,-0.592018
33460_MARGAUX,33460,MARGAUX,45.035305,-0.66974
33380_MIOS -,33380,MIOS -,44.623515,-0.902244
33290_LE PIAN-MEDOC,33290,LE PIAN-MEDOC,44.955839,-0.669792
33910_SAINT-CIERS-D'ABZAC,33910,SAINT-CIERS-D'ABZAC,45.033011,-0.287839
33470_LE TEICH,33470,LE TEICH,44.622612,-1.017533
33123_LE VERDON-SUR-MER,33123,LE VERDON-SUR-MER,45.542951,-1.083102
33350_BELVES-DE-CASTILLON -,33350,BELVES-DE-CASTILLON -,44.87654,-0.022759
33550_LANGOIRAN,33550,LANGOIRAN,44.707937,-0.37282
33740_ARES -,33740,ARES -,44.768128,-1.132387
33120_ARCACHON -,33120,ARCACHON -,44.651462,-1.173981
33720_BARSAC,33720,BARSAC,44.597014,-0.324107
33230_GUITRES,33230,GUITRES,45.045255,-0.182928
33990_NAUJAC-SUR-MER -,33990,NAUJAC-SUR-MER -,45.26776,-1.072639
33890_PESSAC-SUR-DORDOGNE,33890,PESSAC-SUR-DORDOGNE,44.822089,0.091372
33340_QUEYRAC -,33340,QUEYRAC -,45.348591,-1.0024
33540_SAINT-FELIX-DE-FONCAUDE,33540,SAINT-FELIX-DE-FONCAUDE,44.655826,-0.110951
33710_VILLENEUVE,33710,VILLENEUVE,45.084118,-0.627123
33380_MARCHEPRIME,33380,MARCHEPRIME,44.696646,-0.845952
33920_SAINT-GIRONS-D'AIGUEVIVES,33920,SAINT-GIRONS-D'AIGUEVIVES,45.143534,-0.53978
33220_PINEUILH,33220,PINEUILH,44.82883,0.227546
33240_GAURIAGUET,33240,GAURIAGUET,45.046752,-0.394837
33860_DONNEZAC,33860,DONNEZAC,45.241241,-0.445512
33910_SAINT-DENIS-DE-PILE -,33910,SAINT-DENIS-DE-PILE -,44.988284,-0.176759
33240_SAINT-GERVAIS,33240,SAINT-GERVAIS,45.017595,-0.462386
33130_BEGLES -,33130,BEGLES -,44.802062,-0.551187
33260_LA TESTE-DE-BUCH -,33260,LA TESTE-DE-BUCH -,44.616272,-1.157052
33460_ARSAC,33460,ARSAC,44.986117,-0.701703
33760_ROMAGNE -,33760,ROMAGNE -,44.769021,-0.203529
33220_SAINT-ANDRE-ET-APPELLES,33220,SAINT-ANDRE-ET-APPELLES,44.808147,0.194685
33220_EYNESSE,33220,EYNESSE,44.82141,0.14807
33750_SAINT-GERMAIN-DU-PUCH,33750,SAINT-GERMAIN-DU-PUCH,44.851626,-0.337466
33240_VIRSAC,33240,VIRSAC,45.024308,-0.43789
33125_LOUCHATS,33125,LOUCHATS,44.502145,-0.577305
33210_FARGUES,33210,FARGUES,44.542212,-0.287942
33350_CASTILLON-LA-BATAILLE,33350,CASTILLON-LA-BATAILLE,44.858346,-0.027246
33850_LEOGNAN,33850,LEOGNAN,44.718997,-0.60521
33640_BEAUTIRAN -,33640,BEAUTIRAN -,44.703945,-0.455519
33820_ETAULIERS,33820,ETAULIERS,45.220535,-0.573446
33610_CESTAS -,33610,CESTAS -,44.737498,-0.705264
33170_GRADIGNAN -,33170,GRADIGNAN -,44.7691,-0.616651
33660_CAMPS-SUR-L'ISLE,33660,CAMPS-SUR-L'ISLE,45.019124,-0.036252
33700_MERIGNAC -,33700,MERIGNAC -,44.83337,-0.674682
33230_LES EGLISOTTES-ET-CHALAURES -,33230,LES EGLISOTTES-ET-CHALAURES -,45.095571,-0.036822
33760_FRONTENAC,33760,FRONTENAC,44.727825,-0.153758
33240_LA LANDE-DE-FRONSAC,33240,LA LANDE-DE-FRONSAC,44.983277,-0.381199
33790_PELLEGRUE,33790,PELLEGRUE,44.741309,0.101406
33210_TOULENNE,33210,TOULENNE,44.558109,-0.273217
33230_ABZAC,33230,ABZAC,45.012262,-0.120491
33670_SADIRAC -,33670,SADIRAC -,44.783436,-0.395149
33410_CADILLAC -,33410,CADILLAC -,44.638217,-0.30673
33670_LA SAUVE -,33670,LA SAUVE -,44.761627,-0.315027
56400_AURAY -,56400,AURAY -,47.668099,-2.990838
56750_DAMGAN,56750,DAMGAN,47.518541,-2.588881
56380_GUER,56380,GUER,,
56100_LORIENT,56100,LORIENT,47.750364,-3.378025
56890_PLESCOP,56890,PLESCOP,47.697201,-2.83093
56620_PONT-SCORFF,56620,PONT-SCORFF,47.835532,-3.419328
56670_RIANTEC,56670,RIANTEC,47.722021,-3.310604
56360_SAUZON,56360,SAUZON,47.355724,-3.225409
56400_SAINTE-ANNE-D'AURAY,56400,SAINTE-ANNE-D'AURAY,47.701681,-2.945891
56400_AURAY,56400,AURAY,47.668099,-2.990838
56260_LARMOR-PLAGE,56260,LARMOR-PLAGE,47.715667,-3.391565
56320_LE FAOUET,56320,LE FAOUET,48.043995,-3.512004
56160_GUEMENE-SUR-SCORFF,56160,GUEMENE-SUR-SCORFF,48.066219,-3.20439
56560_GUISCRIFF,56560,GUISCRIFF,48.054133,-3.607509
56700_HENNEBONT,56700,HENNEBONT,47.807325,-3.27075
56700_KERVIGNAC,56700,KERVIGNAC,47.774982,-3.25472
56390_LOCQUELTAS,56390,LOCQUELTAS,47.755979,-2.760191
56130_LA ROCHE-BERNARD,56130,LA ROCHE-BERNARD,47.519705,-2.301893
56110_ROUDOUALLEC,56110,ROUDOUALLEC,48.112716,-3.691165
56450_SURZUR,56450,SURZUR,47.564376,-2.621763
56870_BADEN,56870,BADEN,47.61569,-2.903116
56400_BRECH,56400,BRECH,47.70418,-3.022113
56190_MUZILLAC,56190,MUZILLAC,47.550098,-2.469881
56310_QUISTINIC,56310,QUISTINIC,47.91289,-3.132854
56370_SARZEAU,56370,SARZEAU,47.520907,-2.756351
56860_SENE,56860,SENE,47.624371,-2.740046
56130_FEREL,56130,FEREL,47.488083,-2.33407
56650_INZINZAC-LOCHRIST -,56650,INZINZAC-LOCHRIST -,47.861971,-3.265459
56650_INZINZAC-LOCHRIST,56650,INZINZAC-LOCHRIST,,
56120_JOSSELIN,56120,JOSSELIN,47.95471,-2.547028
56300_KERGRIST,56300,KERGRIST,48.146484,-2.911917
56740_LOCMARIAQUER,56740,LOCMARIAQUER,47.580731,-2.958523
56430_MAURON,56430,MAURON,48.090045,-2.307242
